title,company,location,stipend,skills,url
AI Content Creation,Giant Leap,Work from home,"₹ 2,000 - 5,000 /month",Creativity Video Editing ChatGPT Gemini,https://internshala.com/internship/detail/work-from-home-ai-content-creation-internship-at-giant-leap1788262434
AI Video Generation Artist,SAS Group,Work from home,"₹ 12,000 - 15,000 /month",Adobe Premiere Pro Video Making Generative AI Tools Prompt Engineering ChatGPT Claude Perplexity +4 more,https://internshala.com/internship/detail/work-from-home-ai-video-generation-artist-internship-at-sas-group1788262372
AI/ML,Nexaora,Work from home,"₹ 25,000 - 30,000 /month",Python Machine Learning Problem Solving Data Science Deep Learning Artificial intelligence Data Preprocessing +3 more,https://internshala.com/internship/detail/work-from-home-ai-ml-internship-at-nexaora1788262328
AI Image Gen Artist,SAS Group,Work from home,"₹ 12,000 - 15,000 /month",Generative AI Tools ChatGPT Claude Gemini AI Image Generation MidJourney (GenAI),https://internshala.com/internship/detail/work-from-home-ai-image-gen-artist-internship-at-sas-group1788262003
AI Tools Tester & Researcher,SHB Social Foundation,Work from home,Unpaid,Software Testing Artificial intelligence Generative AI Tools LLMOps Vibe Coding,https://internshala.com/internship/detail/work-from-home-ai-tools-tester-researcher-internship-at-shb-social-foundation1788258349
Marketing Automation,Giant Leap,Work from home,"₹ 3,000 - 5,000 /month",Email Marketing Automation,https://internshala.com/internship/detail/work-from-home-marketing-automation-internship-at-giant-leap1788251562
Data Science,Nexaora,Work from home,"₹ 25,000 - 30,000 /month",Python SQL Data Analytics Machine Learning Data Science Natural Language Processing (NLP) Deep Learning +1 more,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-nexaora1788248275
Robotics Data Collection,QuickHyre,Bangalore,"₹ 20,000 - 27,000 /month",Robotics,https://internshala.com/internship/detail/robotics-data-collection-internship-in-bangalore-at-quickhyre1788241074
AI Product Development - Full Stack,Bharath Raj,Work from home,"₹ 12,000 - 15,000 /month",JavaScript Python Git GitHub Computer Vision React REST API +2 more,https://internshala.com/internship/detail/work-from-home-ai-product-development-full-stack-internship-at-bharath-raj1788236655
Robotics Trainer,Main Marshals,Lucknow,"₹ 8,000 - 12,000 /month",AutoCAD Python Adobe Photoshop Adobe Illustrator Robotics Teaching C Programming +7 more,https://internshala.com/internship/detail/robotics-trainer-internship-in-lucknow-at-main-marshals1788179378
Product & Tech,Pawzz Foundation,Work from home,"₹ 10,000 - 25,000 /month",Java HTML CSS Problem Solving UI & UX Design Copywriting GitHub +7 more,https://internshala.com/internship/detail/work-from-home-product-tech-internship-at-pawzz-foundation1788178953
